algo,runs,best_cost_mean,best_cost_std,feasible_rate,heavy_mean,light_mean,runtime_mean_s
GA,3,92193605.0,491970.6874059334,0.0,921.6666666666666,3112.3333333333335,427.86984300613403
COA,3,97626348.33333333,215833.4120463177,0.0,976.0,3051.3333333333335,542.8079175154368
ACO,3,98025848.33333333,778064.7494192811,0.0,980.0,3056.6666666666665,131.5848163763682
SA,3,99625525.0,1512926.3043519338,0.0,996.0,3029.3333333333335,31.104591449101765
PSO,3,100725348.33333333,804463.1554162205,0.0,1007.0,3023.0,413.3049395084381
